# High Intensity Settings
# Ei	Chopper	Speed	T0
8,	2,	180,	30
10,	1,	60,	30
12,	1,	60,	30
12,	1,	60,	60
15,	1,	120,	30
15,	1,	120,	60
20,	1,	120,	30
20,	1,	120,	60
25,	1,	120,	30
25,	1,	120,	60
25,	1,	120,	90
30,	1,	120,	30
30,	1,	120,	60
30,	1,	120,	90
40, 1,	180,	60
40,	1,	180,	90
50,	1,	180,	60
50,	1,	180,	90
50,	1,	180,	120
60,	1,	180,	60
60,	1,	180,	90
60,	1,	180,	120
70,	1,	180,	60
70,	1,	180,	90
70,	1,	180,	120
70,	1,	180,	150
80,	1,	180,	60
80,	1,	180,	90
80,	1,	180,	120
80,	1,	180,	150
90,	1,	180,	60
90,	1,	240,	90
90,	1,	240,	120
90,	1,	240,	150
100,	1,	240,	60
100,	1,	240,	90
100,	1,	240,	120
100,	1,	240,	150
125,	1,	240,	90
125,	1,	240,	120
125,	1,	240,	150
125,	1,	240,	180
150,	1,	300,	90
150,	1,	300,	120
150,	1,	300,	150
150,	1,	300,	180
200,	1,	300,	90
200,	1,	300,	120
200,	1,	300,	150
200,	1,	300,	180
250,	1,	360,	90
250,	1,	360,	120
250,	1,	360,	150
250,	1,	360,	180
300,	1,	360,	120
300,	1,	360,	150
300,	1,	360,	180
400,	1,	480,	120
400,	1,	480,	150
400,	1,	480,	180
500,	1,	480,	150
500,	1,	480,	180
600,	1,	520,	150
600,	1,	520,	180
1000,	1,	600,	180
2000,	1,	600,	180
5000,	1,	600,	180
10000,	1,	600,	180
