# High Intensity Settings
# Ei	Chopper	Speed	T0
8,	1,	60,	30
10,	1,	60,	30
10,	1,	60,	60
12,	1,	60,	30
12,	1,	60,	60
15,	1,	60,	30
15,	1,	60,	60
20,	1,	120,	30
20,	1,	120,	60
20,	1,	120,	90
25,	1,	120,	30
25,	1,	120,	60
25,	1,	120,	90
30,	1,	120,	30
30,	1,	120,	60
30,	1,	120,	90
40,	1,	120,	60
40,	1,	120,	90
40,	1,	120,	120
50,	1,	120,	60
50,	1,	120,	90
50,	1,	120,	120
50,	1,	120,	150
60,	1,	120,	60
60,	1,	120,	90
60,	1,	120,	120
60,	1,	120,	150
70,	1,	180,	60
70,	1,	180,	90
70,	1,	180,	120
70,	1,	180,	150
80,	1,	180,	60
80,	1,	180,	90
80,	1,	180,	120
80,	1,	180,	150
80,	1,	180,	180
90,	1,	180,	60
90,	1,	180,	90
90,	1,	180,	120
90,	1,	180,	150
90,	1,	180,	180
100,	1,	180,	60
100,	1,	180,	90
100,	1,	180,	120
100,	1,	180,	150
100,	1,	180,	180
125,	1,	240,	90
125,	1,	240,	120
125,	1,	240,	150
125,	1,	240,	180
150,	1,	240,	90
150,	1,	240,	120
150,	1,	240,	150
150,	1,	240,	180
200,	1,	240,	90
200,	1,	240,	120
200,	1,	240,	150
200,	1,	240,	180
250,	1,	300,	90
250,	1,	300,	120
250,	1,	300,	150
250,	1,	300,	180
300,	1,	360,	120
300,	1,	360,	150
300,	1,	360,	180
400,	1,	420,	120
400,	1,	420,	150
400,	1,	420,	180
500,	1,	480,	120
500,	1,	480,	150
500,	1,	480,	180
600,	1,	540,	150
600,	1,	540,	180
800,	1,	540,	150
800,	1,	540,	180
1000,	1,	600,	150
1000,	1,	600,	180
2000,	1,	600,	180
5000,	1,	600,	180
10000,	1,	600,	180
