#hi Res Setting
#Ei	Chopper	Speed	T0
8,	2,	180,	30
10,	2,	180,	30
10,	2,	180,	60
12,	2,	180,	30
12,	2,	180,	60
15,	2,	240,	30
15,	2,	240,	60
20,	2,	240,	30
20,	2,	240,	60
20,	2,	240,	90
25,	2,	300,	30
25,	2,	300,	60
25,	2,	300,	90
30,	2,	300,	30
30,	2,	300,	60
30,	2,	300,	90
40,	2,	360,	60
40,	2,	360,	90
40,	2,	360,	120
50,	2,	420,	60
50,	2,	420,	90
50,	2,	420,	120
50,	2,	420,	150
60,	2,	420,	60
60,	2,	420,	90
60,	2,	420,	120
60,	2,	420,	150
70,	2,	480,	60
70,	2,	480,	90
70,	2,	480,	120
70,	2,	480,	150
80,	2,	480,	60
80,	2,	480,	90
80,	2,	480,	120 
80,	2,	480,	150
80,	2,	480,	180
90,	2,	540,	60
90,	2,	540,	90
90,	2,	540,	120
90,	2,	540,	150
90,	2,	540,	180
100,	2,	600,	60
100,	2,	600,	90
100,	2,	600,	120
100,	2,	600,	150
100,	2,	600,	180
125,	2,	600,	90
125,	2,	600,	120
125,	2,	600,	150
125,	2,	600,	180
150,	2,	600,	90
150,	2,	600,	120
150,	2,	600,	150
150,	2,	600,	180
200,	1,	540,	90
200,	1,	540,	120
200,	1,	540,	150
200,	1,	540,	180
250,	1,	600,	90
250,	1,	600,	120
250,	1,	600,	150
250,	1,	600,	180
300,	1,	600,	120
300,	1,	600,	150
300,	1,	600,	180
400,	1,	600,	120
400,	1,	600,	150
400,	1,	600,	180
500,	1,	600,	120
500,	1,	600,	150
500,	1,	600,	180
600,	1,	600,	150
600,	1,	600,	180
800,	1,	600,	150
800,	1,	600,	180
1000,	1,	600,	150
1000,	1,	600,	180
2000,	1,	600,	180
5000,	1,	600,	180
10000,	1,	600,	180
