Run,Ei,Fermi,Height,Center,Sigma,Integral,Hnorm180,Inorm180,FWHM,% of Ei
HYS_43015,50,30,0.033514539,1.935876614,2.626065551,0.348252837,1.688929048,3.338688234,6.171254046,12%
HYS_43016,50,60,0.032377444,2.419224721,2.81313886,0.292670878,1.631626369,2.805825865,6.610876321,13%
HYS_43017,50,120,0.020048366,0.585809001,3.020792618,0.169548702,1.010315791,1.625457705,7.098862653,14%
HYS_43018,50,180,0.019843663,-0.074296897,1.874976128,0.104308283,1,1,4.4061939,9%
HYS_43019,50,240,0.021143939,-0.162597844,1.476043081,0.085086764,1.065525996,0.815723946,3.468701241,7%
HYS_43020,50,300,0.020407409,-0.117525626,1.211284463,0.066280004,1.028409362,0.635424172,2.846518487,6%
HYS_43021,50,420,0.019236859,-0.314936295,0.917167284,0.048787987,0.969420752,0.46772879,2.155343117,4%
HYS_43022,35,30,0.080600959,3.030018629,2.556485872,0.9360226,1.159814253,4.241770871,6.0077418,17%
HYS_43023,35,60,0.084640822,1.034343747,3.05899355,0.678047964,1.217946194,3.072707969,7.188634843,21%
HYS_43024,35,120,0.078212335,0.236242151,1.717176597,0.350020493,1.125442945,1.586186844,4.035365004,12%
HYS_43025,35,180,0.069494714,0.011503009,1.236680982,0.220667883,1,1,2.906200308,8%
HYS_43026,35,240,0.067831707,-0.029139054,0.981765957,0.168374453,0.976070026,0.763022016,2.307149998,7%
HYS_43027,35,300,0.070384774,-0.021946918,0.765417011,0.136324543,1.012807606,0.617781531,1.798729976,5%
HYS_43028,35,420,0.067025103,-0.050926611,0.608353884,0.102923027,0.964463327,0.466415982,1.429631628,4%
HYS_43029,27,30,0.264072264,1.539630788,1.952800966,1.738038177,1.348347481,4.534699651,4.58908227,17%
HYS_43030,27,60,0.230355177,0.693158841,1.909987756,1.136834593,1.176188739,2.966104831,4.488471227,17%
HYS_43031,27,120,0.208754428,0.203338871,1.060045331,0.572188164,1.065895763,1.492890952,2.491106528,9%
HYS_43032,27,180,0.19584882,0.011199445,0.771769989,0.383275258,1,1,1.813659473,7%
HYS_43033,27,240,0.194095107,0.027785926,0.599095965,0.295455695,0.991045577,0.770870776,1.407875518,5%
HYS_43034,27,300,0.176672518,0.018855211,0.510419095,0.228449788,0.902086197,0.596046272,1.199484874,4%
HYS_43035,27,420,0.171018037,-0.028668991,0.383205779,0.164985345,0.873214536,0.430461767,0.900533581,3%
HYS_43036,20,30,0.535578518,1.329114826,1.310668589,2.847549585,1.097263568,4.651056568,3.080071185,15%
HYS_43037,20,60,0.610445944,0.426295978,1.164914839,1.850817095,1.250647799,3.023039546,2.737549871,14%
HYS_43038,20,120,0.534970821,0.1201921,0.689498905,0.941205057,1.096018551,1.537321065,1.620322427,8%
HYS_43039,20,180,0.488103801,0.009717685,0.492330894,0.612237143,1,1,1.156977602,6%
HYS_43040,20,240,0.466829136,-0.00015628,0.393608675,0.463306507,0.956413645,0.756743547,0.924980387,5%
