Run,Ei,Fermi,Height,Center,Sigma,Integral,Hnorm180,Inorm180,FWHM,% of Ei
HYS_43065,7.5,30,93.94851962,-0.1213298,0.481928399,121.445076,1.258284948,4.87384391,1.132531738,15%
HYS_43066,7.5,60,92.45801842,-0.070269994,0.312102972,74.20492618,1.238322151,2.977998281,0.733441983,10%
HYS_43067,7.5,120,83.85987277,-0.073955347,0.178051339,37.65007572,1.123164219,1.510975976,0.418420647,6%
HYS_43068,7.5,180,74.66394618,-0.079910642,0.132064133,24.91771962,1,1,0.310350713,4%
HYS_43069,7.5,240,66.76397757,-0.070982624,0.108751503,18.47800396,0.894192994,0.741560795,0.255566033,3%
HYS_43070,7.5,300,59.40799297,-0.06193679,0.0953793,14.57231905,0.795671753,0.584817522,0.224141355,3%
HYS_43071,7.5,420,47.85923229,-0.066778616,0.0808767,10.08423446,0.640995216,0.404701338,0.190060246,3%
HYS_43072,15,30,0.545547021,-7.372204305,1.031232562,1.437734723,0.0073067,0.05769929,2.423396521,16%
HYS_43073,15,30,41.92950865,-0.074768561,0.837450425,91.02160772,0.56157638,3.652886745,1.968008499,13%
HYS_43074,15,120,38.56676268,-0.093443344,0.474082939,46.36968661,0.516537963,1.860912127,1.114094907,7%
HYS_43075,15,180,34.74895798,-0.126125964,0.348281294,30.66657393,0.465404787,1.2307135,0.818461041,5%
HYS_43076,15,240,31.50467372,-0.091998588,0.284804093,22.8655455,0.421952968,0.917641977,0.669289619,4%
HYS_43077,15,300,28.49988731,-0.082571678,0.246380637,18.0729788,0.381708827,0.725306291,0.578994497,4%
HYS_43078,15,420,23.51461187,-0.097494913,0.203799713,12.58185179,0.314939312,0.504935924,0.478929325,3%
HYS_43079,20,30,19.0461019,-0.19339595,2.048691898,105.4901081,0.255091016,4.233537807,4.81442596,24%
HYS_43080,20,60,18.68142086,-0.071996392,1.307684874,63.56040901,0.250206717,2.55081163,3.073059453,15%
HYS_43081,20,120,17.36622869,-0.093091853,0.731147728,32.34876472,0.232591894,1.298223321,1.718197161,9%
HYS_43082,20,180,15.77711278,-0.144532571,0.5298847,21.27039102,0.211308317,0.853625105,1.245229045,6%
HYS_43083,20,240,14.60634941,-0.106257461,0.423492877,15.82178119,0.195627879,0.634961041,0.995208261,5%
HYS_43084,20,300,13.49215875,-0.064631127,0.360497908,12.51407725,0.180705139,0.502215991,0.847170084,4%
HYS_43085,20,420,11.50551631,-0.081195618,0.287951345,8.645637587,0.154097351,0.346967448,0.676685662,3%
HYS_43086,27,30,7.070761767,-0.14439533,3.285096759,61.86566246,0.094701153,2.482797921,7.719977383,29%
HYS_43087,27,60,6.929423758,-0.073225336,2.068289308,37.07774398,0.092808164,1.488007111,4.860479873,18%
HYS_43088,27,120,6.596720664,-0.109006026,1.129429676,19.00519581,0.088352157,0.762718102,2.654159738,10%
HYS_43089,27,180,6.127660465,-0.144309061,0.805116686,12.52271924,0.082069871,0.502562812,1.892024213,7%
HYS_43090,27,240,5.767403183,-0.090828414,0.633326931,9.292986836,0.077244821,0.372946922,1.488318288,6%
HYS_43091,27,300,5.46491748,-0.059568507,0.528975379,7.371585714,0.073193526,0.295837092,1.243092141,5%
HYS_43092,27,420,4.863660188,-0.086835503,0.408397968,5.086477856,0.065140679,0.204130953,0.959735226,4%
HYS_43093,35,30,3.163917294,0.180925394,4.944936465,41.01104357,0.042375436,1.645858618,11.62060069,33%
HYS_43094,35,60,2.634663321,0.648827207,2.487025281,23.65324177,0.035286955,0.94925387,5.844509411,17%
HYS_43095,35,120,2.97353047,-0.139677547,1.672326157,12.67638288,0.03982552,0.508729654,3.929966469,11%
HYS_43096,35,180,2.827151142,-0.225283991,1.175640987,8.4185901,0.037865011,0.337855559,2.762756319,8%
HYS_43097,35,240,2.699626144,-0.159267925,0.923915265,6.294022764,0.036157025,0.252592246,2.171200874,6%
HYS_43098,35,300,2.58061401,-0.125529017,0.763363397,4.977414978,0.034563054,0.199754033,1.793903982,5%
HYS_43099,35,420,2.375447354,-0.125541903,0.577525634,3.471646779,0.031815186,0.139324418,1.357185239,4%
HYS_43100,50,30,0.930392255,0.832395142,9.130295123,22.19244573,0.012461065,0.890629081,21.45619354,43%
HYS_43101,50,60,0.762596968,1.766681052,3.003040663,10.70243378,0.010213724,0.429510964,7.057145559,14%
HYS_43102,50,120,0.847589325,-0.237818182,2.964179099,6.421910905,0.011352056,0.257724664,6.965820883,14%
HYS_43103,50,180,0.817999718,-0.518967465,2.028817839,4.227714578,0.010955753,0.169666994,4.767721922,10%
HYS_43104,50,240,0.778530806,-0.345376567,1.580003346,3.127985351,0.010427132,0.125532569,3.713007862,7%
HYS_43105,50,300,0.772755941,-0.289745129,1.274159514,2.499778909,0.010349787,0.100321335,2.994274857,6%
HYS_43106,50,420,0.702980711,-0.416070416,0.965381811,1.719644529,0.009415263,0.069012918,2.268647255,5%
HYS_43125,3.8,30,122.2000973,-0.071325193,0.17586536,56.89517522,1.636668078,2.283321913,0.413283597,11%
HYS_43126,3.8,60,120.7356036,-0.039531667,0.111643465,34.74352177,1.617053609,1.394329911,0.262362144,7%
HYS_43127,3.8,120,104.648566,-0.035646693,0.067816343,17.80118219,1.401594362,0.714398527,0.159368405,4%
HYS_43128,3.8,180,88.85668711,-0.039252881,0.052341545,11.59863672,1.190088278,0.465477455,0.123002632,3%
HYS_43129,3.8,240,76.21881881,-0.037013899,0.04501618,8.69729889,1.020824946,0.349040724,0.105788024,3%
HYS_43130,3.8,300,67.19358716,-0.035657131,0.039966266,6.808883331,0.899946903,0.273254673,0.093920725,2%
HYS_43131,3.8,420,50.69070013,-0.038193754,0.036431746,4.655675525,0.678918042,0.186841958,0.085614602,2%
HYS_43132,5,30,81.71935081,-0.063152666,0.273184972,60.16255781,1.094495469,2.414448783,0.641984685,13%
HYS_43133,5,60,82.49252454,-0.029708654,0.172692928,36.96692049,1.104850852,1.483559533,0.405828381,8%
HYS_43134,5,120,74.1375729,-0.037748651,0.099913971,18.77579458,0.992950101,0.753511752,0.234797832,5%
HYS_43135,5,180,64.65088981,-0.044090188,0.075458927,12.32787608,0.86589168,0.49474335,0.177328479,4%
HYS_43136,5,240,56.67316261,-0.040365682,0.063073701,9.149954521,0.759043226,0.367206737,0.148223197,3%
HYS_43137,5,300,49.87203814,-0.038475754,0.056273334,7.193786215,0.667953419,0.288701628,0.132242335,3%
HYS_43138,5,420,38.94016796,-0.040598243,0.049229867,4.995491653,0.521539109,0.200479487,0.115690187,2%
HYS_43139,6,30,99.82217077,-0.104515242,0.342021026,91.89561003,1.336952785,3.687962279,0.803749411,13%
HYS_43140,6,60,98.75081014,-0.051751091,0.219739158,56.12586165,1.322603682,2.252447757,0.516387021,9%
HYS_43141,6,120,88.02621372,-0.048068952,0.128033221,28.45145974,1.178965461,1.141816353,0.30087807,5%
HYS_43142,6,180,76.62779513,-0.05714894,0.096644354,18.71834618,1.026302507,0.751206229,0.227114233,4%
HYS_43143,6,240,67.70607722,-0.047460998,0.080833091,13.96374547,0.90681086,0.560394197,0.189957764,3%
HYS_43144,6,300,59.33451507,-0.045105984,0.072172023,10.97342633,0.794687639,0.44038646,0.169604255,3%
HYS_43145,6,420,46.36383191,-0.050195799,0.062474049,7.574995845,0.620966802,0.304000364,0.146814014,2%
